fromId,toId
451250774,195475105
20060293,14091091
152137231,28123862
90618895,437102741
283306479,83943787
22168987,15539347
274153775,236184723
17632072,22258315
108928516,204089551
8752622,12491
14424667,15439395
17480797,24233316
206713609,183786731
115313263,258203336
16483812,32327501
245394117,298757008
15874998,112503972
14983833,84043660
22253,18742918
16405372,101569095
15102849,43166813
229425177,56860418
48118853,105410969
100581193,83943787
223247584,32032000
26143624,78941245
195475105,103598216
212018296,15375238
236184723,57490887
307642294,252887163
19838339,31525143
31808762,20747847
24129206,17781165
43166813,11348282
177352756,63485337
18776017,10350
45673,11250
3359851,105643923
15311166,6480682
15454228,12591
66691804,15924858
14208982,86336234
14180231,3359851
116952434,21681252
28184452,28123862
48358776,17771860
27022632,16303106
17062358,74265849
5442012,36629388
10671602,18927441
14741804,16619881
270449528,257236842
72818790,131613362
5442012,15913
16710946,28123862
325106566,24942585
20935355,15712979
21436960,24919888
20065440,106816456
37046756,13018112
86221475,121533789
16815990,803663
365110774,32327501
266464616,91409081
38920015,317658862
61475880,16453996
24919888,211303345
91359384,66629039
325106566,298757008
35722372,59804598
276308596,307458983
31477674,94414805
2609891,14249767
35926608,15160273
15292252,65707359
259842341,257236842
160237722,254839786
170921507,222353841
40381496,14179822
40981798,270449528
43166813,91409081
16504528,15924858
30913636,15335662
362626342,221636679
92757996,140800067
14203936,13434622
384621304,422253889
48485771,144040563
22253,22084427
259842341,439788025
6117622,6210882
3829151,783214
15640349,52866725
49492585,56169454
25473689,15853668
19802879,104989762
152137231,211303345
48485771,34068984
86247424,72482827
78941245,24233316
236184723,56860418
157829215,358775055
20273398,43662236
14091091,189253902
12121162,21158690
161392400,63787760
11211372,85891683
356447837,309822643
142047796,185699666
42900952,271139098
18854250,29962952
18776017,65913144
225444667,69592091
14091091,70694567
195475105,22462180
38390323,184637613
46533328,24486637
18854250,25276905
146155608,144040563
14180231,211614808
222582311,146035223
466830475,339527983
86070159,21436960
18776017,8004732
20177423,14934818
84043660,15913
83665015,22168987
15143758,9232572
3359851,18927441
190957611,4197051
15461733,127958577
172161833,362626342
114910205,8004732
23457239,155976326
221036078,57490887
59709745,26785513
195475105,43003845
59785628,128496483
279787626,117674417
72482827,27479039
389351403,35732628
16363491,16009851
41172837,93905958
74523,1504011
8470732,7860742
17092862,15913
16617056,139162440
226014818,38214426
65913144,43933017
48370736,7860742
85891683,11348282
105189289,19546942
90618895,153643574
60491491,29047058
43933017,20904455
31119337,153474021
20437704,44873497
16580226,30313925
279787626,56860418
104201057,30313925
222582311,34068984
52866725,14200408
31119337,59624844
38395010,12998242
18174861,18854250
20747847,59804598
29725730,112471133
15874998,40381496
20060293,21436960
12534,12491
646533,12815
9117202,117177831
93714983,266464616
20060293,108811740
26569855,16299917
38712496,29047058
42361118,7860742
273101322,317658862
26871300,4230121
7702232,7860742
15216860,13967652
119897041,19725644
41894068,39839316
16098603,20075644
26569855,29962952
18142375,21910500
67864340,34428380
11446092,21659808
33423,78453
9103242,4197051
426182072,121063287
14327450,12491
389351403,365110774
39547783,24742040
15519544,85891683
76786777,14693823
45673,2727051
300418156,15461733
656673,14112756
270449528,26929220
16363491,7429892
221636679,67818595
300418156,91409081
45416789,88807478
19802879,14848513
65913144,35926608
188046098,76786777
108928516,28420827
16029857,11348282
309366491,35926608
150384918,24117694
44235766,66629039
16134731,15640349
41894068,39601084
5870022,20060293
263458488,484813312
25026165,20880546
50115087,18194898
11072822,21436558
17909306,19546942
9917552,13018112
20471349,339943969
112758378,27050042
60620992,65647594
38190358,19195914
20273398,59804598
236184723,276308596
25026165,36629388
15933910,24599923
406628822,153226312
15102849,65647594
38500966,79011908
34270080,26143624
211303345,20060293
262775327,221636679
16239185,17980497
19546942,19784831
7860742,1134701
15680204,16895140
146035223,18927441
1065921,31067157
68450853,4230121
362626342,87044829
3096071,18666844
16098603,20747847
294430454,62050341
62975545,15640349
211614808,325106566
15933910,21401466
140795202,282843710
140800067,27118077
251261925,262340283
105580730,44039298
21681252,7702232
406628822,195475105
143125196,15934926
338017544,26281970
298757008,362626342
19526770,50284910
16677622,21436960
15396961,646533
324305626,143363196
86247424,4230121
246297626,422253889
38712496,4230121
283306479,40981798
66905823,48118853
65913144,24004172
270449528,307458983
40381496,15576928
282843710,19040580
141021153,338305835
276706356,153226312
15959868,25952851
16580226,28123862
35617065,18742444
105410969,23954547
41147062,152137231
43170475,144040563
93905958,18742444
28465635,439788025
107830991,206923844
23984889,23477141
25964256,75370828
18069427,21554226
105250713,15874998
13967652,25577874
45673,60033
15130614,12437282
6539592,40381496
20075644,14498387
25569713,48118853
15094659,16679681
101569095,16800811
82453323,53175445
48118853,15853668
86247424,109635031
24081780,24641194
29173529,10956212
40981798,19358562
2426,139162440
17346342,309366491
19802879,7429892
8004732,47161442
52768208,159588456
30207757,7860742
7081402,1183041
15576928,21659808
33174357,324305626
16098603,7861312
20075644,17224642
9917552,34947001
73129083,29247964
28184452,25565646
21436960,14936377
28539301,190957611
31453604,15172810
20904455,24004172
18581803,113751683
20273398,16038438
15667666,11752272
189253902,93714983
19508719,11446092
161760542,16580226
406628822,394263193
15461733,52768208
52905424,26785513
19148708,46678012
39832918,15461733
152137231,18174913
21363077,21724128
29514951,17037417
36279501,14059392
52768208,41441873
276706356,22462180
45862504,90964854
21075893,356447837
20506424,30704824
19802879,25565646
45416789,14498387
68450853,17990996
14689101,115485051
116324294,44873497
19923638,109702885
61475880,8470732
16580226,44134466
101633415,24004172
82963512,16679681
15712979,94414805
60608455,15653423
18194898,127958577
174958347,15858135
314316607,248883350
34428380,43003845
16237246,43365692
14654965,13967652
20824887,19637934
7738402,18742918
7702232,25339125
19311729,146350964
16895140,16475194
139162440,17732153
211303345,30258963
274791635,259641511
21436558,95941018
35926608,17224642
29660021,42316573
15782318,16303106
223581250,96513226
90964854,20273398
65913144,57986173
21208444,153474021
61133,656673
338305835,141021153
25376226,7565302
1044591,1116721
23503181,86336234
153784150,11180212
128302994,36982940
314316607,19493072
153226312,196327549
160008685,211614808
28482819,105643923
16003580,23820989
285185271,79033029
105895378,356447837
52758395,28184452
9890492,22035674
41147062,12437282
8004732,14498387
20273398,22258315
90676132,56169454
14589257,62050341
19040580,8004732
18581803,20471349
318182652,151759225
134234059,44873497
17002699,18556103
109445327,79033029
47161442,261001122
19546942,14575107
311214131,85561166
20543416,50284910
29472803,15165493
153474021,105189289
150384918,23954547
18142375,78433570
116324294,16405372
124528830,86221475
7098022,20950208
44773640,25952851
34211097,14575107
14200408,11446092
160008685,222582311
31119337,43952326
341840097,250303199
35415477,59110488
94414805,127973392
20397258,43933017
16562955,319020952
109445327,44788330
246297626,309325161
26929220,88323281
14936377,21436960
7429892,19653925
115313263,172161833
31119337,7092102
25565646,42869411
28184452,161760542
42361118,16097743
7429892,11348282
12437282,15165502
200214366,34428380
134995648,15216860
14157134,19526770
200559228,28465635
65913144,20397258
35777372,44873497
128302994,19040580
40981798,151338729
10671602,90964854
153474021,20177423
22841103,15666380
978241,8067082
15112961,15485441
23503181,15473958
112758378,17990996
90779436,28482819
31414569,116498875
32338244,25254052
8067082,15060582
44235766,66905823
34211097,153474021
197504076,88097807
60620992,127958577
9930742,34986425
52768208,65647594
68450853,24272129
27118077,108857204
139162440,23027237
108811740,16245822
339943969,356447837
290097288,82030021
486450371,140795202
307642294,131490551
21436960,43166813
31119337,58462957
22784458,24560836
11348282,15473958
15165502,85891683
26280712,18666844
15594313,20437704
38712496,27050042
51780974,134995648
28482819,95980722
141508391,16674726
24004172,101633415
94325602,15576928
15222083,16464746
6480682,23027237
9451052,23140494
23820989,22677790
176310143,143950772
123565032,20437286
112471133,121537720
273186916,282843710
406628822,69592091
116324294,22060843
226179592,161392400
226629405,259842341
30863,12555
14179822,16134731
62609430,15112961
50284910,813286
92614930,64091671
6210882,109635031
15375238,24742040
214328887,463952369
17781165,19802879
13811562,656673
7738402,12555
21678052,105643923
90618895,16483812
19508719,78832728
298757008,309325161
213032194,281159810
24641194,188499505
16626187,16098603
4833,9463382
34211097,20177423
52866725,38712496
461410856,439788025
44773640,185699666
11211372,82453323
17552077,252887163
111164068,90779436
6480682,115485051
8001572,222640532
15172810,28471924
22679419,95980722
36750478,185397767
176310143,68503464
259842341,19358562
60033,12741
213777144,40981798
7846,29514951
195475105,222261763
59709745,29755836
20,1344951
15959868,92757996
16626187,14498387
15888142,15666380
204317520,214328887
38500966,15335662
151759225,24476165
34373923,43952326
16617056,62581962
57249277,153474021
79011908,14642816
115313263,325106566
289365039,69029861
8170292,11696732
259842341,254839786
16364222,5374
5442012,62609430
16674726,47161442
18713254,6480682
17564647,15070932
24117694,15853668
262775327,160008685
27837808,236025357
16626187,16098603
25952851,7702232
14424667,17037417
46209291,123371682
20,14763
131601987,90779436
365110774,273186916
14934818,15933910
103598216,26929220
211614808,262775327
22139698,14936377
153784150,127958577
35777372,116324294
285185271,177691409
112471133,14642816
17116707,196327549
93714983,15165493
27050042,52866725
3359851,14498387
13600352,30863
18776017,43933017
245424983,116324294
15222083,17552077
90720074,16929349
104201057,15519544
319020952,159223855
22705686,24117694
21681252,19040580
94414805,25026165
90720074,20506424
105189289,30704824
94918917,21678052
140800067,14654965
153226312,28465635
90046723,38712496
133067266,15519544
1268821,15165493
2172,7861312
16252002,15666380
15520280,148497957
14208982,16356344
28465635,17116707
384621304,21075893
121258930,146155608
18556103,6117622
300418156,20060293
9917552,43952326
14536491,25473689
13434622,32675894
101633415,18927441
25254052,38934368
38190358,56814021
146729999,5442012
213777144,117674417
108558650,143950772
314316607,133055665
25964256,22784458
21681252,82030021
7081402,14424667
222353841,319020952
